"","max_count","PlotID","max_height","Woody_stem_biomass","Shrub_leaf_biomass","Species","tot_shrub_biomass","percent_cover","biomass_per_m2"
"1",3,"P01",19.6,39.78,14.82,"Salix richardsonii",54.6,8.33333333333333,218.4
"2",3,"P03",13.4,18.21,12.28,"Salix richardsonii",30.49,8.33333333333333,121.96
"3",3,"P07",33.8,72.11,11.7,"Salix richardsonii",83.81,8.33333333333333,335.24
"4",3,"P08",25.8,58.79,13.04,"Salix richardsonii",71.83,8.33333333333333,287.32
"5",5,"P09",26.5,97.73,12.19,"Salix richardsonii",109.92,13.8888888888889,439.68
"6",5,"P10",37.2,137.48,18.05,"Salix richardsonii",155.53,13.8888888888889,622.12
"7",7,"P11",55.4,151.66,21.39,"Salix richardsonii",173.05,19.4444444444444,692.2
"8",5,"P12",45.6,145.54,23.43,"Salix richardsonii",168.97,13.8888888888889,675.88
"9",6,"P13",63.3,415.16,29.52,"Salix richardsonii",444.68,16.6666666666667,1778.72
"10",7,"P14",77.2,321.83,19.21,"Salix richardsonii",341.04,19.4444444444444,1364.16
"11",5,"P15",75,322.98,29.4,"Salix richardsonii",352.38,13.8888888888889,1409.52
"12",9,"P16",81,570.53,36.28,"Salix richardsonii",606.81,25,2427.24
"13",7,"P17",85.3,562.21,23.44,"Salix richardsonii",585.65,19.4444444444444,2342.6
"14",8,"P18",76.6,547.93,34.73,"Salix richardsonii",582.66,22.2222222222222,2330.64
"15",4,"P19",35.5,19.77,8.73,"Salix richardsonii",28.5,11.1111111111111,114
"16",7,"P20",31.4,32.81,12.43,"Salix richardsonii",45.24,19.4444444444444,180.96
"17",2,"P21",13.5,16.97,9.06,"Salix richardsonii",26.03,5.55555555555556,104.12
"18",4,"P22",71,331.94,21.92,"Salix richardsonii",353.86,11.1111111111111,1415.44
"19",5,"P23",52.3,224.82,24.54,"Salix richardsonii",249.36,13.8888888888889,997.44
"20",5,"P24",57.4,158.96,24.45,"Salix richardsonii",183.41,13.8888888888889,733.64
"21",4,"P25",50,143.42,11.95,"Salix richardsonii",155.37,11.1111111111111,621.48
"22",4,"P26",46.2,189.44,22.08,"Salix richardsonii",211.52,11.1111111111111,846.08
"23",7,"P27",37.5,150.39,24.21,"Salix richardsonii",174.6,19.4444444444444,698.4
"24",5,"P28",76.2,354.9,22.82,"Salix richardsonii",377.72,13.8888888888889,1510.88
"25",6,"P29",61.6,435.39,34.22,"Salix richardsonii",469.61,16.6666666666667,1878.44
"26",8,"P30",58.8,516.53,31.92,"Salix richardsonii",548.45,22.2222222222222,2193.8
"27",5,"P31",44.6,128.35,18.07,"Salix richardsonii",146.42,13.8888888888889,585.68
"28",4,"P32",35.2,69.76,14.1,"Salix richardsonii",83.86,11.1111111111111,335.44
"29",2,"P33",50.9,34.48,15.57,"Salix richardsonii",50.05,5.55555555555556,200.2
"30",6,"P35",42.1,260.99,30.95,"Salix richardsonii",291.94,16.6666666666667,1167.76
"31",4,"P36",31.1,266.62,26.99,"Salix richardsonii",293.61,11.1111111111111,1174.44
"32",0,"P00",0,0,0,"Salix richardsonii",0,0,0
