"","ID","july_temp","x","y","biomass_per_m2","cell","year"
"1",1,10.0281921386719,-145.625,70.5,77.7154528138506,8,2100
"2",2,9.9124694824219,-144.375,70.5,102.304497125381,9,2100
"3",3,10.5460144042969,-143.125,70.5,89.8224833927926,10,2100
"4",4,9.58266601562502,-141.875,70.5,86.8846002431881,11,2100
"5",5,8.4803405761719,-140.625,70.5,139.459642445469,12,2100
"6",6,8.62191162109377,-139.375,70.5,56.8864561547934,13,2100
"7",7,11.0711608886719,-146.875,69.5,78.337306874053,29,2100
"8",8,9.96218261718752,-145.625,69.5,61.4884287813437,30,2100
"9",9,9.98140869140627,-144.375,69.5,74.9380917530443,31,2100
"10",10,11.098779296875,-143.125,69.5,69.1123896536111,32,2100
"11",11,11.3109985351563,-141.875,69.5,85.9069396045593,33,2100
"12",12,11.0575500488281,-140.625,69.5,127.675543884629,34,2100
"13",13,11.1867004394531,-139.375,69.5,99.8447213781296,35,2100
"14",14,11.7204833984375,-138.125,69.5,187.249882676651,36,2100
"15",15,12.1418701171875,-136.875,69.5,256.135591769979,37,2100
"16",16,12.0195861816406,-135.625,69.5,443.976533791754,38,2100
"17",17,8.44442138671877,-148.125,68.5,121.427407121707,50,2100
"18",18,8.0932556152344,-146.875,68.5,139.063976951378,51,2100
"19",19,8.3638854980469,-145.625,68.5,137.224296411455,52,2100
"20",20,8.6992126464844,-144.375,68.5,171.337494784164,53,2100
"21",21,9.07418212890627,-143.125,68.5,174.207703144587,54,2100
"22",22,10.0419860839844,-141.875,68.5,237.147368267213,55,2100
"23",23,11.041650390625,-140.625,68.5,228.884083138469,56,2100
"24",24,11.5331665039063,-139.375,68.5,210.960305267767,57,2100
"25",25,11.9030090332031,-138.125,68.5,252.404678678967,58,2100
"26",26,12.4408813476563,-136.875,68.5,243.164709014637,59,2100
"27",27,12.6781860351563,-135.625,68.5,374.055111341187,60,2100
"28",28,12.6744934082031,-134.375,68.5,270.918910159604,61,2100
"29",29,9.69451293945315,-149.375,67.5,229.609541035669,71,2100
"30",30,10.0548645019531,-148.125,67.5,234.195730616739,72,2100
"31",31,10.7891174316406,-146.875,67.5,264.988709704893,73,2100
"32",32,11.1730590820313,-145.625,67.5,229.778331119621,74,2100
"33",33,11.8450866699219,-144.375,67.5,248.82671446891,75,2100
"34",34,12.483544921875,-143.125,67.5,261.636243135639,76,2100
"35",35,12.1789184570313,-141.875,67.5,323.494850730736,77,2100
"36",36,11.882470703125,-140.625,67.5,278.853445088772,78,2100
"37",37,11.9056335449219,-139.375,67.5,252.225254125515,79,2100
"38",38,11.7544189453125,-138.125,67.5,335.396063563038,80,2100
"39",39,11.94423828125,-136.875,67.5,237.121862315132,81,2100
"40",40,12.4555908203125,-135.625,67.5,286.905979761058,82,2100
"41",41,12.707666015625,-134.375,67.5,264.760034878918,83,2100
"42",42,13.0724731445313,-133.125,67.5,338.35461441154,84,2100
"43",43,12.6493774414063,-149.375,66.5,286.78520569766,93,2100
"44",44,12.9055114746094,-148.125,66.5,314.686045621435,94,2100
"45",45,13.1194396972656,-146.875,66.5,306.622868473461,95,2100
"46",46,14.0833984375,-145.625,66.5,263.756085987995,96,2100
"47",47,14.5624328613281,-144.375,66.5,235.56589058832,97,2100
"48",48,14.2087036132813,-143.125,66.5,239.137291572161,98,2100
"49",49,13.3053527832031,-141.875,66.5,232.312592412857,99,2100
"50",50,12.5930419921875,-140.625,66.5,249.498053902442,100,2100
"51",51,12.2542358398438,-139.375,66.5,192.376500506256,101,2100
"52",52,12.3548217773438,-138.125,66.5,291.099882271356,102,2100
"53",53,12.80947265625,-136.875,66.5,227.188129198947,103,2100
"54",54,13.0601135253906,-135.625,66.5,242.174553191047,104,2100
"55",55,13.2389770507813,-134.375,66.5,259.473227643615,105,2100
"56",56,13.822412109375,-133.125,66.5,283.66661655104,106,2100
"57",57,14.40859375,-131.875,66.5,285.081528576245,107,2100
"58",58,13.9652954101563,-149.375,65.5,223.909092532897,115,2100
"59",59,13.9789978027344,-148.125,65.5,271.175543843601,116,2100
"60",60,13.932763671875,-146.875,65.5,278.204778317376,117,2100
"61",61,13.5163513183594,-145.625,65.5,312.373993621976,118,2100
"62",62,13.3005615234375,-144.375,65.5,297.601024479845,119,2100
"63",63,13.1707092285156,-143.125,65.5,287.243015409008,120,2100
"64",64,12.6929260253906,-141.875,65.5,226.85244881284,121,2100
"65",65,12.1298461914063,-140.625,65.5,259.881108203056,122,2100
"66",66,11.36416015625,-139.375,65.5,160.630428254688,123,2100
"67",67,10.9534545898438,-138.125,65.5,181.555784029149,124,2100
"68",68,11.9511047363281,-136.875,65.5,162.852314279089,125,2100
"69",69,12.2657409667969,-135.625,65.5,169.80400887471,126,2100
"70",70,12.0520263671875,-134.375,65.5,223.185294327271,127,2100
"71",71,12.4453979492188,-133.125,65.5,224.919742754892,128,2100
"72",72,13.8415466308594,-149.375,64.5,189.218505859375,137,2100
"73",73,13.4097839355469,-148.125,64.5,221.820633192963,138,2100
"74",74,13.2852722167969,-146.875,64.5,292.392453318012,139,2100
"75",75,12.5403686523438,-145.625,64.5,306.23381848896,140,2100
"76",76,11.7711730957031,-144.375,64.5,303.01315740782,141,2100
"77",77,11.468896484375,-143.125,64.5,344.277831735622,142,2100
"78",78,11.0403381347656,-141.875,64.5,274.82049003995,143,2100
"79",79,11.4423461914063,-140.625,64.5,248.544159311016,144,2100
"80",80,11.2818237304688,-139.375,64.5,182.857404969235,145,2100
"81",81,10.4457336425781,-138.125,64.5,179.173990544801,146,2100
"82",82,9.97457275390627,-136.875,64.5,183.801527482529,147,2100
"83",83,10.3104187011719,-135.625,64.5,173.302504743385,148,2100
"84",84,10.2456298828125,-134.375,64.5,213.487514362976,149,2100
"85",85,9.69692382812502,-133.125,64.5,217.5067076716,150,2100
"86",86,10.9551940917969,-148.125,63.5,249.107971191406,160,2100
"87",87,10.4745422363281,-146.875,63.5,181.222369908736,161,2100
"88",88,10.4593139648438,-145.625,63.5,262.520497591208,162,2100
"89",89,11.4674621582031,-144.375,63.5,320.061549775276,163,2100
"90",90,12.4965759277344,-143.125,63.5,365.50332633699,164,2100
"91",91,11.9001098632813,-141.875,63.5,259.214360353472,165,2100
"92",92,12.3156066894531,-140.625,63.5,255.075456917023,166,2100
"93",93,12.1416564941406,-139.375,63.5,209.212420424135,167,2100
"94",94,12.1316772460938,-138.125,63.5,204.468764911086,168,2100
"95",95,12.3342529296875,-136.875,63.5,205.832818738219,169,2100
"96",96,11.73671875,-135.625,63.5,191.220655476917,170,2100
"97",97,11.528466796875,-134.375,63.5,226.888968358212,171,2100
"98",98,11.0061584472656,-133.125,63.5,230.289665623356,172,2100
"99",99,10.0042358398438,-146.875,62.5,4.76609516143799,183,2100
"100",100,10.0088439941406,-145.625,62.5,235.917929579378,184,2100
"101",101,9.86977539062502,-144.375,62.5,354.987901113017,185,2100
"102",102,10.1028076171875,-143.125,62.5,419.198411883199,186,2100
"103",103,10.4245239257813,-141.875,62.5,240.050339576847,187,2100
"104",104,12.4029479980469,-140.625,62.5,221.703389901592,188,2100
"105",105,12.2700744628906,-139.375,62.5,228.865474578316,189,2100
"106",106,12.1206604003906,-138.125,62.5,220.039572423325,190,2100
"107",107,12.3665710449219,-136.875,62.5,187.978861769779,191,2100
"108",108,12.2607055664063,-135.625,62.5,161.98715851175,192,2100
"109",109,11.9965454101563,-134.375,62.5,181.660995555379,193,2100
"110",110,11.2959228515625,-133.125,62.5,183.425036229449,194,2100
"111",111,6.5351501464844,-143.125,61.5,495.623107910156,208,2100
"112",112,3.45491943359377,-141.875,61.5,272.55541348077,209,2100
"113",113,5.10177001953127,-140.625,61.5,201.510756860319,210,2100
"114",114,8.84673461914065,-139.375,61.5,206.94909911695,211,2100
"115",115,9.84795532226565,-138.125,61.5,229.314229349971,212,2100
"116",116,11.0127197265625,-136.875,61.5,254.061387103116,213,2100
"117",117,11.4920593261719,-135.625,61.5,191.73246996569,214,2100
"118",118,11.2102600097656,-134.375,61.5,166.26684637872,215,2100
"119",119,10.7217956542969,-133.125,61.5,164.576203828044,216,2100
"120",120,2.15853271484377,-139.375,60.5,166.455871582031,233,2100
"121",121,5.25881347656252,-138.125,60.5,205.09782732516,234,2100
"122",122,9.8153015136719,-136.875,60.5,289.352506902453,235,2100
"123",123,10.8295532226563,-135.625,60.5,220.631593691442,236,2100
"124",124,11.0427185058594,-134.375,60.5,188.292459928165,237,2100
