"Date","mean_moist"
2022-06-01,1612.07619047619
2022-06-02,1604.33680555556
2022-06-03,1582.17013888889
2022-06-04,1557.88888888889
2022-06-05,1546.19791666667
2022-06-06,1535.40277777778
2022-06-07,1636.44444444444
2022-06-08,1623.27430555556
2022-06-09,1647.34027777778
2022-06-10,1646.91319444444
2022-06-11,1636.20833333333
2022-06-12,1632.34027777778
2022-06-13,1618.04166666667
2022-06-14,1611.29513888889
2022-06-15,1609.34027777778
2022-06-16,1605.57986111111
2022-06-17,1582.60069444444
2022-06-18,1559.75694444444
2022-06-19,1512.66319444444
2022-06-20,1482.39236111111
2022-06-21,1478.09375
2022-06-22,1484.05208333333
2022-06-23,1489.88541666667
2022-06-24,1526.05555555556
2022-06-25,1568.06944444444
2022-06-26,1564.74652777778
2022-06-27,1545.36458333333
2022-06-28,1535.96527777778
2022-06-29,1524.32291666667
2022-06-30,1518.02430555556
2022-07-01,1522.51388888889
2022-07-02,1505.89236111111
2022-07-03,1491.86805555556
2022-07-04,1477.05555555556
2022-07-05,1465.72916666667
2022-07-06,1467.40625
2022-07-07,1463.25347222222
2022-07-08,1457.92361111111
2022-07-09,1451.60763888889
2022-07-10,1443.97569444444
2022-07-11,1453.3125
2022-07-12,1573.28819444444
2022-07-13,1642.61111111111
2022-07-14,1677.54861111111
2022-07-15,1675.98263888889
2022-07-16,1679.78472222222
2022-07-17,1682.25
2022-07-18,1690.27083333333
2022-07-19,1690.03125
2022-07-20,1697.63888888889
2022-07-21,1696.11805555556
2022-07-22,1695.35416666667
2022-07-23,1696.59375
2022-07-24,1701.94791666667
2022-07-25,1703.75694444444
2022-07-26,1695.37152777778
2022-07-27,1707.30902777778
2022-07-28,1708.79861111111
2022-07-29,1708.94791666667
2022-07-30,1707.02430555556
2022-07-31,1788.72916666667
2022-08-01,1794.17361111111
2022-08-02,1828.36458333333
2022-08-03,1821.32291666667
2022-08-04,1807.46875
2022-08-05,1796.70486111111
2022-08-06,1791.73958333333
2022-08-07,1806.83680555556
2022-08-08,1793.64583333333
2022-08-09,1789.125
2022-08-10,1811.08333333333
2022-08-11,1801.63194444444
2022-08-12,1803.30208333333
2022-08-13,1803.10069444444
2022-08-14,1799.42361111111
2022-08-15,1797.06944444444
2022-08-16,1794.33680555556
2022-08-17,1797.62345679012
