"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","species"
"Intercept",0.260691295144375,1.93759871731365,-3.54398741648933,3.94949033716279,"1.00",4140.06698387536,3643.92058037027,"fixed",19,"Salix richardsonii"
"Southern Garden",-0.00421953147832764,2.40157749467391,-4.71852152180021,4.75231803642931,"1.00",3975.08125153993,3379.39380635912,"fixed",19,"Salix richardsonii"
"Sigma",4.81540404246432,0.821166226175034,3.52592636239199,6.72024032285703,"1.00",3905.50757192992,3271.66549234796,"residual",19,"Salix richardsonii"
" Intercept",136.012894223568,1.64516987799057,132.771900736322,139.27975617584,"1.00",3886.01655211203,3150.94180612451,"fixed",15,"Salix pulchra"
" Southern Garden",5.55245900495036,2.36906646322688,0.86974867819461,10.3132552881996,"1.00",3822.23565518187,2989.83120722211,"fixed",15,"Salix pulchra"
" Sigma",4.50921251224249,0.89052385647832,3.17346893183784,6.6269713452383,"1.00",3610.30480556099,3105.46728251059,"residual",15,"Salix pulchra"
"Intercept ",-4.81185673765505,1.25683766763786,-7.32095425399982,-2.3076010228438,"1.00",3614.60430247558,2815.30512051959,"fixed",10,"Salix arctica"
"Southern Garden ",8.08152948405588,1.66971639667329,4.69978970200387,11.4520894354399,"1.00",3463.59578466817,2791.90395251343,"fixed",10,"Salix arctica"
"Sigma ",2.48759884586618,0.714107054239838,1.488744936048,4.28618036231843,"1.00",2631.90421167757,2976.85957505283,"residual",10,"Salix arctica"
