"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Species"
"Intercept",-18.9733885572807,3.96443532406685,-26.716704762307,-11.1574713693192,"1.00",4420.7027390815,3693.55284089364,"fixed",37,"Salix richardsonii"
"Southern Garden",28.3184606453965,4.83504599252074,18.7401458722455,37.9011507446465,"1.00",4597.11482998533,3307.78311967819,"fixed",37,"Salix richardsonii"
"Sigma",13.5341995267932,1.67333162574321,10.7650181170146,17.239981518641,"1.00",3965.22008430657,3517.8660726821,"residual",37,"Salix richardsonii"
" Intercept",-8.54494461697039,5.57741147509873,-19.702737508851,2.59597505121667,"1.00",4122.09182699079,3547.4741261759,"fixed",16,"Salix pulchra"
" Southern Garden",22.7901971799792,9.16265476720356,4.75854676921484,41.2659353869342,"1.00",3649.12151133377,3182.04610092411,"fixed",16,"Salix pulchra"
" Sigma",17.6927838922515,3.54998730689454,12.2226342343481,25.9074031827847,"1.00",3278.83984065867,3139.66439268312,"residual",16,"Salix pulchra"
"Intercept ",-8.78453755156708,3.92193082732598,-16.6660645571187,-1.08384029941251,"1.00",4072.51977382299,3504.0608703615,"fixed",24,"Salix arctica"
"Southern Garden ",17.6744857954181,5.67670733122232,6.43842645932965,28.8703463461266,"1.00",4000.578727311,2983.39976550155,"fixed",24,"Salix arctica"
"Sigma ",13.3987929091108,2.06060049619037,10.0217601045047,18.0477400629632,"1.00",4032.47508226811,3524.86613394295,"residual",24,"Salix arctica"
